*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 15, 2018; 17:43:28
                                                                                
*RUN   1        : Sim                       MZCER046 UNME2015    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UNME2015 MZ                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : Sim                       MZCER046                            
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2015 121    31     0    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  9.08
 2015 122    32     1    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 12.46
 2015 123    33     2    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 14.19
 2015 124    34     3    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.57
 2015 125    35     4    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.50
 2015 126    36     5    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 10.10
 2015 127    37     6    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.30
 2015 128    38     7    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  4.82
 2015 129    39     8    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.90
 2015 130    40     9    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.98
 2015 131    41    10    0.0      0   0.00      0      0      0      0      0      0      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0      0.0   0.00   0.00   0.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  0.31
 2015 132    42    11    1.0      1   0.00     20     20      0     20     40     40      0    0.0  0.000      0      0  0.000  0.000  0.012  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     10.0   0.00   0.00   0.18    0.40    0.20    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  5.95
 2015 133    43    12    1.0      1   0.00     20     20      0     20     40     40      0    0.0  0.000      0      0  0.000  0.000  0.015  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     19.8   0.00   0.00   0.19    0.40    0.20    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.72
 2015 134    44    13    2.0      1   0.01     20     20      0     20     40     40      0    0.0  0.000      0      0  0.000  0.000  0.011  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     29.6   0.00   0.00   0.20    0.40    0.20    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.07
 2015 135    45    14    2.0      1   0.01     20     20      0     20     40     40      0    0.0  0.000      0      0  0.000  0.000  0.007  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     40.8   0.00   0.00   0.20    0.39    0.20    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  8.49
 2015 136    46    15    2.0      1   0.01     20     20      0     21     40     40      0    0.0  0.000      0      0  0.000  0.000  0.001  0.086  0.000  0.000  0.000   4.40   0.00   0.00      0      0     59.5   0.00   0.00   0.21    0.40    0.20    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 13.65
 2015 137    47    16    3.0      1   0.02     20     20      0     22     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     79.3   0.01   0.00   0.22    0.41    0.22    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 12.21
 2015 138    48    17    3.0      1   0.02     20     20      0     24     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     87.6   0.01   0.00   0.23    0.43    0.24    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  5.08
 2015 139    49    18    3.0      1   0.02     20     20      0     24     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     79.6   0.01   0.00   0.23    0.43    0.24    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  0.29
 2015 140    50    19    3.0      1   0.02     20     20      0     24     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     79.6   0.01   0.00   0.23    0.42    0.24    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  0.41
 2015 141    51    20    3.0      1   0.02     20     20      0     27     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     79.1   0.01   0.00   0.23    0.45    0.26    0.04    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.59
 2015 142    52    21    3.0      1   0.02     20     20      0     28     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     86.6   0.01   0.00   0.24    0.45    0.27    0.04    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  4.36
 2015 143    53    22    3.0      1   0.02     20     20      0     28     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     98.4   0.01   0.00   0.24    0.45    0.27    0.05    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  6.58
 2015 144    54    23    3.0      1   0.02     20     20      0     28     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    117.2   0.01   0.00   0.25    0.46    0.27    0.05    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  9.90
 2015 145    55    24    4.0      1   0.04     20     20      0     31     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    205.6   0.01   0.00   0.26    0.48    0.30    0.06    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 13.77
 2015 146    56    25    4.0      1   0.05     20     20      0     33     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    269.8   0.02   0.00   0.27    0.50    0.31    0.07    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0  9.30
 2015 147    57    26    4.0      1   0.07     23     20      0     39     43     43      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.06   0.00   0.00      0      0    317.4   0.03   0.00   0.28    0.55    0.37    0.09    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 13.09
 2015 148    58    27    5.0      1   0.09     31     20      0     40     51     51      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.49   0.00   0.00      0      0    304.3   0.03   0.00   0.29    0.55    0.37    0.10    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.20
 2015 149    59    28    5.0      1   0.11     39     20      0     44     59     59      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.43   0.00   0.00      0      0    292.0   0.04   0.00   0.30    0.58    0.40    0.12    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.88
 2015 150    60    29    5.0      1   0.13     46     20      0     53     66     66      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.59   0.00   0.00      0      0    284.3   0.05   0.00   0.30    0.65    0.47    0.16    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1  8.39
 2015 151    61    30    5.0      1   0.14     51     20      0     64     71     71      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.69   0.00   0.00      0      0    279.1   0.05   0.00   0.31    0.74    0.56    0.22    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1  6.06
 2015 152    62    31    5.0      1   0.17     62     20      0     80     82     82      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.41   0.00   0.00      0      0    269.7   0.06   0.00   0.32    0.80    0.69    0.30    0.01    0.00    0.00    0.00    0.00      0      0      0       0       1 11.51
 2015 153    63    32    6.0      1   0.19     74     20      0     87     94     94      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.41   0.00   0.00      0      0    261.5   0.07   0.00   0.32    0.86    0.75    0.34    0.01    0.00    0.00    0.00    0.00      0      0      0       0       2 11.22
 2015 154    64    33    6.0      2   0.24     87     20      0    100    107    107      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.35   0.00   0.00      0      0    270.7   0.08   0.00   0.33    0.95    0.85    0.40    0.02    0.00    0.00    0.00    0.00      0      0      0       0       2 15.46
 2015 155    65    34    6.0      2   0.26     97     20      0    101    117    117      0    0.0  0.000      0      0  0.000  0.000  0.007  0.000  0.000  0.000  0.000   3.57   0.00   0.00      0      0    264.8   0.09   0.00   0.35    0.96    0.86    0.41    0.02    0.00    0.00    0.00    0.00      0      0      0       0       3 12.88
 2015 156    66    35    6.0      2   0.31    122     20      0    121    142    142      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.18   0.00   0.00      0      0    252.7   0.11   0.00   0.37    1.10    1.00    0.50    0.05    0.00    0.00    0.00    0.00      0      0      0       0       3 15.26
 2015 157    67    36    7.0      2   0.37    153     20      0    130    173    173      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.11   0.00   0.00      0      0    241.0   0.13   0.00   0.40    1.16    1.06    0.54    0.06    0.00    0.00    0.00    0.00      0      0      0       0       4 16.75
 2015 158    68    37    7.0      2   0.43    188     20      0    160    208    208      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.79   0.00   0.00      0      0    231.1   0.15   0.00   0.42    1.36    1.26    0.66    0.13    0.00    0.00    0.00    0.00      0      0      0       0       4 16.23
 2015 159    69    38    7.0      2   0.51    231     20      0    200    251    251      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.75   0.00   0.00      0      0    221.4   0.18   0.00   0.44    1.62    1.52    0.82    0.23    0.00    0.00    0.00    0.00      0      0      0       0       5 17.64
 2015 160    70    39    8.0      2   0.61    287     20      0    242    307    307      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.71   0.00   0.00      0      0    211.6   0.21   0.00   0.47    1.88    1.78    0.99    0.34    0.00    0.00    0.00    0.00      0      0      0       0       6 19.83
 2015 161    71    40    8.0      3   0.71    349     20      0    284    370    370      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.63   0.00   0.00      0      0    202.6   0.25   0.00   0.49    2.14    2.04    1.16    0.45    0.02    0.00    0.00    0.00      0      0      0       0       7 19.70
 2015 162    72    41    8.0      3   0.73    362     20      0    283    383    383      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.50   0.00   0.00      0      0    201.3   0.25   0.00   0.51    2.13    2.04    1.15    0.45    0.02    0.00    0.00    0.00      0      0      0       0       7 10.45
 2015 163    73    42    9.0      3   0.79    399     21      0    288    419    419      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.54   0.00   0.00      0      0    197.9   0.28   0.00   0.52    2.16    2.06    1.17    0.46    0.02    0.00    0.00    0.00      0      0      0       0       9  9.95
 2015 164    74    43    9.0      3   0.87    451     22      0    325    473    473      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.50   0.00   0.00      0      0    193.5   0.30   0.00   0.53    2.38    2.28    1.31    0.56    0.05    0.00    0.00    0.00      0      0      0       0      10 13.21
 2015 165    75    44    9.0      3   0.97    516     24      0    353    540    540      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.46   0.00   0.00      0      0    188.7   0.34   0.00   0.55    2.53    2.43    1.41    0.63    0.08    0.00    0.00    0.00      0      0      0       0      12 15.13
 2015 166    76    45   10.0      3   1.06    573     27      0    386    600    600      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.42   0.00   0.00      0      0    185.1   0.37   0.00   0.57    2.71    2.62    1.53    0.72    0.13    0.00    0.00    0.00      0      0      0       0      14 12.29
 2015 167    77    46   10.0      3   1.16    638     31      0    482    670    670      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.38   0.00   0.00      0      0    181.4   0.40   0.00   0.58    3.23    3.15    1.87    0.97    0.27    0.00    0.00    0.00      0      0      0       0      15 13.02
 2015 168    78    47   10.0      3   1.30    736     41      0    552    776    776      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.34   0.00   0.00      0      0    176.6   0.45   0.00   0.60    3.61    3.53    2.11    1.15    0.39    0.00    0.00    0.00      0      0      0       0      18 17.71
 2015 169    79    48   10.0      3   1.40    807     49      0    581    855    855      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.30   0.00   0.00      0      0    173.6   0.49   0.00   0.61    3.76    3.68    2.21    1.22    0.44    0.00    0.00    0.00      0      0      0       0      21 12.02
 2015 170    80    49   11.0      3   1.53    900     62      0    683    962    962      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.26   0.00   0.00      0      0    170.0   0.53   0.00   0.63    4.00    4.00    2.55    1.47    0.61    0.01    0.00    0.00      0      0      0       0      24 14.69
 2015 171    81    50   11.0      3   1.69   1020     84      0    734   1104   1104      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.22   0.00   0.00      0      0    166.0   0.59   0.00   0.64    4.00    4.00    2.73    1.60    0.70    0.01    0.00    0.00      0      0      0       0      27 17.30
 2015 172    82    51   11.0      3   1.84   1134    110      0    794   1243   1243      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.18   0.00   0.00      0      0    162.7   0.64   0.00   0.66    4.00    4.00    2.93    1.75    0.80    0.02    0.00    0.00      0      0      0       0      31 15.25
 2015 173    83    52   12.0      3   2.06   1303    155      0    834   1458   1458      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.13   0.00   0.00      0      0    158.4   0.72   0.00   0.67    4.00    4.00    3.06    1.85    0.86    0.03    0.00    0.00      0      0      0       0      35 18.30
 2015 174    84    53   12.0      3   2.21   1417    191      0    889   1608   1608      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.10   0.00   0.00      0      0    155.8   0.77   0.00   0.69    4.00    4.00    3.24    1.98    0.95    0.04    0.00    0.00      0      0      0       0      39 12.05
 2015 175    85    54   12.0      3   2.40   1575    247      0    921   1822   1822      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.06   0.00   0.00      0      0    152.7   0.84   0.00   0.70    4.00    4.00    3.35    2.06    1.01    0.04    0.00    0.00      0      0      0       0      43 16.35
 2015 176    86    55   13.0      3   2.59   1730    311      0    940   2041   2041      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.02   0.00   0.00      0      0    149.9   0.91   0.00   0.72    4.00    4.00    3.41    2.11    1.04    0.05    0.00    0.00      0      0      0       0      48 15.70
 2015 177    87    56   13.0      3   2.77   1881    382      0   1004   2263   2263      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.98   0.00   0.00      0      0    147.5   0.97   0.00   0.73    4.00    4.00    3.62    2.26    1.14    0.07    0.00    0.00      0      0      0       0      53 15.05
 2015 178    88    57   13.0      3   2.95   2027    458      0   1102   2485   2485      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.95   0.00   0.00      0      0    145.4   1.03   0.00   0.74    4.00    4.00    3.95    2.50    1.30    0.10    0.00    0.00      0      0      0       0      58 14.30
