*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 16, 2018; 14:44:24
                                                                                
*RUN   1        : Sim                       MZCER046 UNME2015    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UNME2015 MZ                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : Sim                       MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2015 121    31     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 122    32     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 123    33     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 124    34     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 125    35     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 126    36     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 127    37     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 128    38     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 129    39     8    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 130    40     9    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 131    41    10    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2015 132    42    11    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   2.19    0.00    0.00
 2015 133    43    12    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   2.18    0.00    0.00
 2015 134    44    13    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   2.17    0.00    0.00
 2015 135    45    14    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   2.15    0.00    0.00
 2015 136    46    15    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   2.09    0.00    0.00
 2015 137    47    16    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.96    0.00    0.00
 2015 138    48    17    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.81    0.00    0.00
 2015 139    49    18    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.80    0.00    0.00
 2015 140    50    19    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.80    0.00    0.00
 2015 141    51    20    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.63    0.00    0.00
 2015 142    52    21    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.59    0.00    0.00
 2015 143    53    22    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.58    0.00    0.00
 2015 144    54    23    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.55    0.00    0.00
 2015 145    55    24    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.42    0.00    0.00
 2015 146    56    25    1.8    0.0    1.8   0.00   4.40    0.0    0.9    0.9    4.4   4.40   1.32    0.00    0.00
 2015 147    57    26    1.8    0.0    1.8   0.00   4.06    0.0    0.9    0.8    4.1   4.06   1.12    0.00    0.00
 2015 148    58    27    1.8    0.0    1.8   0.00   3.49    0.0    1.1    0.7    3.5   3.49   1.09    0.00    0.00
 2015 149    59    28    2.0    0.0    2.0   0.00   3.43    0.4    1.3    0.7    3.4   3.43   1.16    0.00    0.00
 2015 150    60    29    2.4    0.0    2.4   0.00   3.59    0.8    1.6    0.7    3.6   3.59   1.24    0.00    0.01
 2015 151    61    30    2.6    0.0    2.6   0.00   3.69    1.2    1.9    0.7    3.7   3.69   1.25    0.00    0.01
 2015 152    62    31    2.8    0.0    2.8   0.00   3.41    1.6    2.1    0.7    3.4   3.41   1.28    0.00    0.01
 2015 153    63    32    3.2    0.0    3.2   0.00   3.41    2.0    2.5    0.7    3.4   3.41   1.16    0.00    0.02
 2015 154    64    33    3.6    0.0    3.6   0.00   3.35    2.6    2.9    0.7    3.3   3.35   1.20    0.00    0.02
 2015 155    65    34    4.2    0.0    4.2   0.00   3.57    3.1    3.5    0.7    3.6   3.57   1.08    0.00    0.03
 2015 156    66    35    4.5    0.0    4.5   0.00   3.18    3.8    3.9    0.6    3.2   3.18   1.24    0.00    0.04
 2015 157    67    36    5.4    0.0    5.4   0.00   3.11    4.7    4.8    0.6    3.1   3.11   1.15    0.00    0.04
 2015 158    68    37    7.9    0.0    7.9   0.00   3.79    7.8    7.1    0.8    3.8   3.79   1.26    0.00    0.05
 2015 159    69    38    9.4    0.0    9.4   0.00   3.75    9.8    8.7    0.7    3.7   3.75   1.28    0.00    0.06
 2015 160    70    39   11.4    0.0   11.4   0.00   3.71   12.3   10.6    0.7    3.7   3.71   1.25    0.00    0.07
 2015 161    71    40   13.4    0.0   13.4   0.00   3.63   14.8   12.7    0.7    3.6   3.63   1.22    0.00    0.09
 2015 162    72    41   13.4    0.0   13.4   0.00   3.50   14.8   12.7    0.7    3.5   3.50   1.23    0.00    0.09
 2015 163    73    42   14.8    0.0   14.8   0.00   3.54   15.9   14.1    0.7    3.5   3.54   1.09    0.00    0.11
 2015 164    74    43   16.5    0.0   16.5   0.00   3.50   18.3   15.8    0.8    3.5   3.50   1.19    0.00    0.12
 2015 165    75    44   18.7    0.0   18.7   0.00   3.46   20.7   17.8    0.8    3.5   3.46   1.15    0.00    0.14
 2015 166    76    45   20.5    0.0   20.5   0.00   3.42   23.0   19.6    0.9    3.4   3.42   1.16    0.00    0.16
 2015 167    77    46   22.7    0.0   22.7   0.00   3.38   26.8   21.6    1.1    3.4   3.38   1.28    0.00    0.18
 2015 168    78    47   25.9    0.0   25.9   0.00   3.34   30.5   24.5    1.4    3.3   3.34   1.20    0.00    0.21
 2015 169    79    48   28.3    0.0   28.3   0.00   3.30   32.8   26.6    1.6    3.3   3.30   1.12    0.00    0.25
 2015 170    80    49   31.4    0.0   31.4   0.00   3.26   37.9   29.4    2.0    3.3   3.26   1.22    0.00    0.28
 2015 171    81    50   35.5    0.0   35.5   0.00   3.22   42.0   32.8    2.7    3.2   3.22   1.14    0.00    0.32
 2015 172    82    51   39.5    0.0   39.5   0.00   3.18   46.8   36.0    3.5    3.2   3.18   1.15    0.00    0.36
 2015 173    83    52   45.7    0.0   45.7   0.00   3.13   53.2   40.8    4.9    3.1   3.13   1.12    0.00    0.41
 2015 174    84    53   49.8    0.0   49.8   0.00   3.10   58.2   43.9    5.9    3.1   3.10   1.13    0.00    0.46
 2015 175    85    54   55.7    0.0   55.7   0.00   3.06   64.2   48.2    7.6    3.1   3.06   1.11    0.00    0.51
 2015 176    86    55   61.6    0.0   61.6   0.00   3.02   70.2   52.2    9.4    3.0   3.02   1.09    0.00    0.56
 2015 177    87    56   67.5    0.0   67.5   0.00   2.98   77.3   56.1   11.4    3.0   2.98   1.14    0.00    0.61
 2015 178    88    57   73.3    0.0   73.3   0.00   2.95   84.6   59.8   13.5    2.9   2.95   1.16    0.00    0.67
 2015 179    89    58   80.1    0.0   80.1   0.00   2.91   91.9   63.9   16.2    2.9   2.91   1.13    0.00    0.73
 2015 180    90    59   86.9    0.0   86.9   0.00   2.87   99.2   67.8   19.1    2.9   2.87   1.11    0.00    0.80
 2015 181    91    60   89.7    0.0   89.7   0.00   2.84  101.5   69.2   20.5    2.8   2.84   1.07    0.00    0.86
 2015 182    92    61   97.5    0.0   97.5   0.00   2.80  110.3   73.3   24.2    2.8   2.80   1.11    0.00    0.93
 2015 183    93    62  100.0    0.0  100.0   0.00   2.78  112.4   74.4   25.5    2.8   2.78   1.07    0.00    1.00
 2015 184    94    63  110.8    0.0  110.8   0.00   2.75  123.6   79.0   31.8    2.7   2.75   1.08    0.00    1.07
 2015 185    95    64  120.5    0.0  120.5   0.00   2.72  133.8   82.7   37.9    2.7   2.72   1.09    0.00    1.14
 2015 186    96    65  126.6    0.0  126.6   0.00   2.68  139.9   84.3   42.3    2.7   2.68   1.08    0.00    1.21
 2015 187    97    66  127.0    0.0  127.0   0.00   2.65  140.2   83.9   43.1    2.6   2.65   1.07    0.00    1.28
 2015 188    98    67  132.7    0.0  132.7   0.00   2.64  148.8   85.6   47.1    2.6   2.64   1.17    0.00    1.35
 2015 189    99    68  137.9    0.0  137.9   0.00   2.62  154.5   87.0   50.9    2.6   2.62   1.13    0.00    1.44
 2015 190   100    69  144.4    0.0  144.4   0.00   2.59  161.0   88.6   55.8    2.6   2.59   1.09    0.00    1.52
 2015 191   101    70  149.4    0.0  149.4   0.00   2.56  165.8   89.6   59.8    2.6   2.56   1.07    0.00    1.61
 2015 192   102    71  153.2    0.0  153.2   0.00   2.46  169.8   88.9   64.3    2.5   2.46   1.07    0.00    1.69
 2015 193   103    72  156.3    0.0  156.3   0.00   2.36  173.1   88.0   68.3    2.4   2.36   1.06    0.00    1.78
 2015 194   104    73  158.8    0.0  158.8   0.00   2.28  175.8   87.2   71.6    2.3   2.28   1.06    0.00    1.87
 2015 195   105    74  160.9    0.0  160.9   0.00   2.21  178.0   86.7   74.3    2.2   2.21   1.05    0.00    1.95
 2015 196   106    75  162.9    0.0  162.9   0.00   2.19  180.1   86.9   76.0    2.2   2.19   1.05    0.00    2.04
 2015 197   107    76  164.7    0.0  164.7   0.00   2.14  182.0   87.0   77.8    2.1   2.14   1.05    0.00    2.13
 2015 198   108    77  166.4    0.0  166.4   0.00   2.10  183.8   87.4   79.0    2.1   2.10   1.04    0.00    2.21
 2015 199   109    78  168.1    0.0  168.1   0.00   2.07  185.7   88.2   79.9    2.1   2.07   1.03    0.00    2.30
 2015 200   110    79  169.8    0.0  169.8   0.00   2.05  187.5   89.1   80.6    2.0   2.05   1.03    0.00    2.39
 2015 201   111    80  171.5    0.0  171.5   0.00   2.04  189.3   87.9   83.6    2.0   2.04   1.03    0.00    2.47
